step,train_loss,train_acc,test_loss,test_acc,weight_norm
0,3.960557,0.0258,3.989750,0.0148,35.498
100,0.053497,1.0000,12.536532,0.1204,47.374
200,0.006056,1.0000,13.761384,0.1524,47.047
300,0.001897,1.0000,14.150137,0.1673,46.449
400,0.000608,1.0000,14.650288,0.1862,46.062
500,0.000199,1.0000,15.181464,0.2028,45.806
600,0.000066,1.0000,15.709317,0.2206,45.619
700,0.000022,1.0000,16.163076,0.2301,45.443
800,0.000008,1.0000,16.537905,0.2414,45.227
900,0.000003,1.0000,16.850859,0.2509,44.905
1000,0.000001,1.0000,17.010574,0.2651,44.411
1100,0.000001,1.0000,16.907089,0.2782,43.696
1200,0.000000,1.0000,16.543867,0.2859,42.767
1300,0.000000,1.0000,16.100302,0.2966,41.735
1400,0.000000,1.0000,15.618698,0.3007,40.779
1500,0.000000,1.0000,15.790913,0.3007,40.353
1600,0.000441,1.0000,15.470965,0.2770,40.011
1700,0.001077,1.0000,8.602695,0.3209,36.492
1800,0.003006,1.0000,6.999409,0.3262,35.849
1900,0.001241,1.0000,7.461538,0.3262,36.750
2000,0.000446,1.0000,7.976663,0.3321,37.647
2100,0.000156,1.0000,8.416351,0.3369,38.485
2200,0.000054,1.0000,8.749045,0.3440,39.192
2300,0.000019,1.0000,8.973687,0.3523,39.718
2400,0.000007,1.0000,9.082114,0.3630,40.004
2500,0.000002,1.0000,9.061892,0.3743,40.037
2600,0.000001,1.0000,8.885501,0.3891,39.847
2700,0.000000,1.0000,8.536313,0.4039,39.452
2800,0.000000,1.0000,8.071164,0.4205,38.912
2900,0.000000,1.0000,7.587580,0.4353,38.328
3000,0.000000,1.0000,7.432034,0.4425,38.222
3100,0.000101,1.0000,5.399884,0.4597,36.533
3200,0.001016,1.0000,3.508488,0.4709,34.376
3300,0.000678,1.0000,3.280645,0.4781,35.217
3400,0.000250,1.0000,3.219467,0.4970,36.162
3500,0.000088,1.0000,3.109498,0.5279,36.975
3600,0.000031,1.0000,2.924423,0.5652,37.592
3700,0.000011,1.0000,2.674224,0.6068,37.965
3800,0.000004,1.0000,2.373645,0.6346,38.081
3900,0.000001,1.0000,2.067680,0.6785,37.971
4000,0.000001,1.0000,1.774337,0.7183,37.659
4100,0.000000,1.0000,1.509520,0.7556,37.162
4200,0.000000,1.0000,1.296810,0.7835,36.582
4300,0.000000,1.0000,1.178549,0.8019,36.351
4400,0.000153,1.0000,0.968594,0.7936,34.715
4500,0.001190,1.0000,0.555119,0.8381,32.133
4600,0.001196,1.0000,0.474980,0.8559,32.404
4700,0.000434,1.0000,0.388060,0.8861,33.212
4800,0.000151,1.0000,0.314651,0.9093,33.940
4900,0.000052,1.0000,0.255439,0.9288,34.575
5000,0.000018,1.0000,0.205702,0.9413,35.088
5100,0.000006,1.0000,0.166532,0.9514,35.452
5200,0.000002,1.0000,0.135733,0.9567,35.626
5300,0.000001,1.0000,0.110592,0.9644,35.590
5400,0.000000,1.0000,0.090006,0.9733,35.336
5500,0.000000,1.0000,0.074236,0.9775,34.856
5600,0.000000,1.0000,0.065074,0.9798,34.263
5700,0.000000,1.0000,0.069194,0.9810,34.228
5800,0.000192,1.0000,0.071092,0.9775,32.092
5900,0.001811,1.0000,0.058116,0.9822,29.803
6000,0.001248,1.0000,0.054153,0.9834,30.249
6100,0.000456,1.0000,0.043707,0.9864,31.137
6200,0.000159,1.0000,0.036274,0.9875,31.983
6300,0.000055,1.0000,0.031053,0.9864,32.741
6400,0.000019,1.0000,0.026864,0.9899,33.392
6500,0.000007,1.0000,0.023991,0.9929,33.914
6600,0.000002,1.0000,0.021403,0.9929,34.264
6700,0.000001,1.0000,0.019095,0.9929,34.390
6800,0.000000,1.0000,0.016677,0.9935,34.241
6900,0.000000,1.0000,0.014314,0.9947,33.802
7000,0.000000,1.0000,0.012575,0.9953,33.148
7100,0.000000,1.0000,0.011641,0.9964,32.638
7200,0.000350,1.0000,0.041428,0.9852,32.453
7300,0.000400,1.0000,0.014356,0.9976,29.614
7400,0.001165,1.0000,0.017905,0.9970,28.766
7500,0.000493,1.0000,0.013564,0.9988,29.464
7600,0.000178,1.0000,0.010319,0.9988,30.241
7700,0.000062,1.0000,0.008433,0.9976,30.992
7800,0.000022,1.0000,0.007459,0.9976,31.677
7900,0.000008,1.0000,0.006849,0.9976,32.264
8000,0.000003,1.0000,0.006615,0.9976,32.709
8100,0.000001,1.0000,0.006359,0.9970,32.961
8200,0.000000,1.0000,0.005883,0.9970,32.971
8300,0.000000,1.0000,0.005622,0.9976,32.704
8400,0.000000,1.0000,0.004456,0.9976,32.190
8500,0.000000,1.0000,0.001648,1.0000,31.670
